Year,Month,Decimal Date,TSN,NSN,SSN,A,B,C,Date
1959,11,1959.873,119.5,79.2,40.3,136.1,89,47.1,1959-11
1959,12,1959.956,131.9,101.4,30.5,132.1,85.3,46.8,1959-12
1960,1,1960.041,139.4,90.3,49.1,127.3,80.6,46.7,1960-1
1960,2,1960.123,114.6,78.5,36.1,122.2,78.6,43.6,1960-2
1960,3,1960.205,102.8,74.5,28.3,120.9,79.7,41.2,1960-3
1960,4,1960.289,115.6,79.4,36.2,121.2,80.3,40.9,1960-4
1960,5,1960.372,120.2,72.6,47.6,119.2,77.5,41.7,1960-5
1960,6,1960.456,113,78.3,34.7,115.4,74,41.4,1960-6
1960,7,1960.539,127.4,95.9,31.5,110.1,70.8,39.3,1960-7
1960,8,1960.624,131.5,75,56.5,105.4,67.2,38.2,1960-8
1960,9,1960.708,117.5,59.5,58,100.2,63,37.2,1960-9
1960,10,1960.791,96.8,50.5,46.3,94.2,58.7,35.5,1960-10
1960,11,1960.875,86.8,58.4,28.4,88.6,55.1,33.5,1960-11
1960,12,1960.958,84.7,58,26.7,83.4,50.8,32.6,1960-12
1961,1,1961.043,54.8,33.9,20.9,77.9,46.3,31.6,1961-1
1961,2,1961.124,45,26.5,18.5,72.5,43.4,29.1,1961-2
1961,3,1961.205,55.1,37.1,18,67.1,41,26.1,1961-3
1961,4,1961.288,58.4,34.6,23.8,63.8,38.9,24.9,1961-4
1961,5,1961.372,59.8,36.3,23.5,59.8,35.4,24.4,1961-5
1961,6,1961.455,71.6,39.9,31.7,55.7,32.6,23.1,1961-6
1961,7,1961.539,67.7,41.7,26,53.7,32,21.7,1961-7
1961,8,1961.624,56.4,30.8,25.6,52.6,32.3,20.3,1961-8
1961,9,1961.707,61.4,28.2,33.2,51.6,32.4,19.2,1961-9
1961,10,1961.791,36.4,19.1,17.3,50.9,32.3,18.6,1961-10
1961,11,1961.874,38.5,26.7,11.8,49.6,31.9,17.7,1961-11
1961,12,1961.958,38.3,31.9,6.4,47.2,30.9,16.3,1961-12
1962,1,1962.042,33.8,31.4,2.4,44.9,29.1,15.8,1962-1
1962,2,1962.123,46.3,36.4,9.9,42.3,27.6,14.7,1962-2
1962,3,1962.204,51.5,35.1,16.4,39.6,26.4,13.2,1962-3
1962,4,1962.287,48.5,32.4,16.1,39.5,26.3,13.2,1962-4
1962,5,1962.371,44.8,29.4,15.4,40.1,25.8,14.3,1962-5
1962,6,1962.454,43,20.4,22.6,39.7,24.6,15.1,1962-6
1962,7,1962.538,23.2,11.3,11.9,38.4,23,15.4,1962-7
1962,8,1962.623,23.3,13.5,9.8,35.9,21.2,14.7,1962-8
1962,9,1962.706,51.1,25.8,25.3,33.5,19.7,13.8,1962-9
1962,10,1962.79,40.6,17.9,22.7,30.6,17.8,12.8,1962-10
1962,11,1962.873,29.4,17.8,11.6,29,16.7,12.3,1962-11
1962,12,1962.957,20.1,14.5,5.6,29.1,17.3,11.8,1962-12
1963,1,1963.042,23.8,18.2,5.6,29.9,18.7,11.2,1963-1
1963,2,1963.123,21.1,16.8,4.3,29.5,19.1,10.4,1963-2
1963,3,1963.203,17.2,12.7,4.5,28.3,19,9.3,1963-3
1963,4,1963.287,28.1,13.8,14.3,27.7,18.6,9.1,1963-4
1963,5,1963.37,44.3,28.2,16.1,28.3,18.8,9.5,1963-5
1963,6,1963.454,35.5,29.2,6.3,29.3,18.8,10.5,1963-6
1963,7,1963.537,20,17.8,2.2,28.7,18.1,10.6,1963-7
1963,8,1963.622,32.4,20.7,11.7,28.1,17.3,10.8,1963-8
1963,9,1963.706,34.5,14.8,19.7,27.8,17.1,10.7,1963-9
1963,10,1963.789,35.9,19.6,16.3,26.4,16.4,10,1963-10
1963,11,1963.873,28.6,14.6,14,23.7,14.6,9.1,1963-11
1963,12,1963.956,14,8.2,5.8,21.7,12.9,8.8,1963-12
1964,1,1964.041,15.8,9.2,6.6,20,11.6,8.4,1964-1
1964,2,1964.123,16.5,12,4.5,17.7,10.4,7.3,1964-2
1964,3,1964.205,17.5,8.4,9.1,15,9.4,5.6,1964-3
1964,4,1964.289,9.2,6.7,2.5,12.4,8.1,4.3,1964-4
1964,5,1964.372,9.2,7,2.2,10.5,7.3,3.2,1964-5
1964,6,1964.456,8.2,7.7,0.5,9.8,6.9,2.9,1964-6
1964,7,1964.539,5.4,5,0.4,9.5,6.8,2.7,1964-7
1964,8,1964.624,7.6,6.1,1.5,9.5,7.2,2.3,1964-8
1964,9,1964.708,5.7,5.1,0.6,9.6,7.8,1.8,1964-9
1964,10,1964.791,5,4.5,0.5,9.6,8.1,1.5,1964-10
1964,11,1964.875,9.1,4.5,4.6,9.6,8.2,1.4,1964-11
1964,12,1964.958,11.7,7.5,4.2,10.7,8.9,1.8,1964-12
1965,1,1965.043,18,16.9,1.1,12,9.8,2.2,1965-1
1965,2,1965.124,15.5,14.4,1.1,12.4,10.1,2.3,1965-2
1965,3,1965.205,8.6,8.5,0.1,12.8,10.4,2.4,1965-3
1965,4,1965.288,8.7,7.6,1.1,13.6,11,2.6,1965-4
1965,5,1965.372,25.8,21.4,4.4,14.9,12,2.9,1965-5
1965,6,1965.455,16.3,9.9,6.4,15.1,12.2,2.9,1965-6
1965,7,1965.539,11.4,10.8,0.6,14.7,11.7,3,1965-7
1965,8,1965.624,8.2,5.4,2.8,15.6,12.3,3.3,1965-8
1965,9,1965.707,16.6,13.9,2.7,17.4,13.9,3.5,1965-9
1965,10,1965.791,22.7,15,7.7,19,15.5,3.5,1965-10
1965,11,1965.874,14.4,11.7,2.7,20.9,17.4,3.5,1965-11
1965,12,1965.958,14.3,11.2,3.1,23.4,19.8,3.6,1965-12
1966,1,1966.042,27,22,5,26.9,22.8,4.1,1966-1
1966,2,1966.123,26,25,1,30.8,26.1,4.7,1966-2
1966,3,1966.204,26.2,24.4,1.8,33.7,28.9,4.8,1966-3
1966,4,1966.287,48.5,45.2,3.3,36.7,31.3,5.4,1966-4
1966,5,1966.371,43.2,34.7,8.5,40.8,34,6.8,1966-5
1966,6,1966.454,47.8,41.9,5.9,44.7,36.9,7.8,1966-6
1966,7,1966.538,53.8,45.3,8.5,49.3,40,9.3,1966-7
1966,8,1966.623,50.7,44.5,6.2,55.5,43.7,11.8,1966-8
1966,9,1966.706,53.6,39.3,14.3,61.8,47.5,14.3,1966-9
1966,10,1966.79,57.1,37.6,19.5,67.3,50.2,17.1,1966-10
1966,11,1966.873,57.8,48.9,8.9,70.4,51.2,19.2,1966-11
1966,12,1966.957,73.2,52.4,20.8,73.3,51.8,21.5,1966-12
1967,1,1967.042,103.7,66.9,36.8,76.3,52.9,23.4,1967-1
1967,2,1967.123,96.7,72.6,24.1,79.6,54.1,25.5,1967-2
1967,3,1967.203,105.5,67.5,38,83.5,55.8,27.7,1967-3
1967,4,1967.287,77.4,47.3,30.1,86.3,56.1,30.2,1967-4
1967,5,1967.37,78.8,48.5,30.3,88.2,55.7,32.5,1967-5
1967,6,1967.454,84.1,55.2,28.9,90.2,56,34.2,1967-6
1967,7,1967.537,89.1,59.7,29.4,92.7,56.4,36.3,1967-7
1967,8,1967.622,104.8,59.5,45.3,95.3,56.5,38.8,1967-8
1967,9,1967.706,77.8,34.5,43.3,95.6,56,39.6,1967-9
1967,10,1967.789,80.2,43.3,36.9,97.5,56.5,41,1967-10
1967,11,1967.873,102.6,62.6,40,98.6,57,41.6,1967-11
1967,12,1967.956,127.3,74.3,53,100.9,58,42.9,1967-12
1968,1,1968.041,126,70.9,55.1,102.7,59,43.7,1968-1
1968,2,1968.123,100.9,56.1,44.8,103.5,59.4,44.1,1968-2
1968,3,1968.205,96,52,44,105.9,60,45.9,1968-3
1968,4,1968.289,86.7,52.8,33.9,108.1,59.7,48.4,1968-4
1968,5,1968.372,122.9,77.4,45.5,108.4,58.5,49.9,1968-5
1968,6,1968.456,113.1,66.3,46.8,105.9,55.5,50.4,1968-6
1968,7,1968.539,95.8,56.9,38.9,103.7,52.3,51.4,1968-7
1968,8,1968.624,114.2,46,68.2,104.4,52.9,51.5,1968-8
1968,9,1968.708,106.8,41.9,64.9,106.8,55.8,51,1968-9
1968,10,1968.791,108.3,52.7,55.6,109.6,58.3,51.3,1968-10
1968,11,1968.875,95.9,35.5,60.4,109.9,58.9,51,1968-11
1968,12,1968.958,101.6,36,65.6,110.9,59.5,51.4,1968-12
1969,1,1969.043,107.7,68.1,39.6,112.2,60.4,51.8,1969-1
1969,2,1969.124,118.8,86.8,32,111.2,60.7,50.5,1969-2
1969,3,1969.205,134.2,91.2,43,109.4,59.5,49.9,1969-3
1969,4,1969.288,115.9,72.7,43.2,107.6,57.6,50,1969-4
1969,5,1969.372,113.7,70.3,43.4,107.2,58.2,49,1969-5
1969,6,1969.455,121.9,67.4,54.5,106.5,59.1,47.4,1969-6
1969,7,1969.539,98.3,44.3,54,105.2,57.2,48,1969-7
1969,8,1969.624,83.5,30.1,53.4,104.1,53,51.1,1969-8
1969,9,1969.707,92.2,31.3,60.9,103.2,49.8,53.4,1969-9
1969,10,1969.791,95.1,44.6,50.5,103.8,50,53.8,1969-10
1969,11,1969.874,93.2,57.3,35.9,102.6,49.3,53.3,1969-11
1969,12,1969.958,92.3,40.4,51.9,102.3,49.2,53.1,1969-12
1970,1,1970.042,115.7,41.5,74.2,104.5,52.3,52.2,1970-1
1970,2,1970.123,118.6,53.1,65.5,106.4,55.4,51,1970-2
1970,3,1970.204,119.4,76.2,43.2,107.2,57.5,49.7,1970-3
1970,4,1970.287,105.5,62.2,43.3,107.1,57.8,49.3,1970-4
1970,5,1970.371,113.5,62.3,51.2,106.9,57.5,49.4,1970-5
1970,6,1970.454,119.5,76.9,42.6,106.6,58.5,48.1,1970-6
1970,7,1970.538,109.9,65.5,44.4,104.3,59.7,44.6,1970-7
1970,8,1970.623,91.7,53.5,38.2,100.9,59.7,41.2,1970-8
1970,9,1970.706,98.6,49.4,49.2,98,57.8,40.2,1970-9
1970,10,1970.79,85.2,45.7,39.5,94.1,55.5,38.6,1970-10
1970,11,1970.873,98.1,55.1,43,89.8,53.5,36.3,1970-11
1970,12,1970.957,83.6,53.8,29.8,83.8,50,33.8,1970-12
1971,1,1971.042,89.4,60,29.4,79.3,46.9,32.4,1971-1
1971,2,1971.123,81.4,51.4,30,76.9,45,31.9,1971-2
1971,3,1971.203,60.9,33.4,27.5,74.5,43.4,31.1,1971-3
1971,4,1971.287,74.1,47.3,26.8,71.2,40.7,30.5,1971-4
1971,5,1971.37,55.2,38.8,16.4,67.6,37.7,29.9,1971-5
1971,6,1971.454,49.8,25.7,24.1,65.3,34.6,30.7,1971-6
1971,7,1971.537,77.6,35.9,41.7,64.2,31.8,32.4,1971-7
1971,8,1971.622,62.3,28.2,34.1,63.5,29.8,33.7,1971-8
1971,9,1971.706,54.5,18.7,35.8,64.8,30.1,34.7,1971-9
1971,10,1971.789,55.8,22.5,33.3,66.1,30.6,35.5,1971-10
1971,11,1971.873,60.9,19.9,41,67.6,31.2,36.4,1971-11
1971,12,1971.956,82.5,33.7,48.8,69.4,32,37.4,1971-12
1972,1,1972.041,59.6,16.7,42.9,70.6,31.9,38.7,1972-1
1972,2,1972.123,87.2,51.8,35.4,72.3,32.2,40.1,1972-2
1972,3,1972.205,81.4,48.1,33.3,74.2,33.2,41,1972-3
1972,4,1972.289,66.1,38,28.1,74.9,33.6,41.3,1972-4
1972,5,1972.372,80.7,38.9,41.8,73.8,33,40.8,1972-5
1972,6,1972.456,86.1,33.4,52.7,71.8,31.8,40,1972-6
1972,7,1972.539,78.5,28.2,50.3,69.7,31,38.7,1972-7
1972,8,1972.624,75.8,31,44.8,66,29.5,36.5,1972-8
1972,9,1972.708,61,26.2,34.8,62.6,28.1,34.5,1972-9
1972,10,1972.791,53.1,16.3,36.8,61.1,27.5,33.6,1972-10
1972,11,1972.875,49.3,11.4,37.9,58.2,26.7,31.5,1972-11
1972,12,1972.958,50,22.5,27.5,54.4,25.9,28.5,1972-12
1973,1,1973.043,43.5,32.9,10.6,50.4,24.8,25.6,1973-1
1973,2,1973.124,41.8,30.9,10.9,46.4,23.4,23,1973-2
1973,3,1973.205,52.2,33.1,19.1,43.3,22,21.3,1973-3
1973,4,1973.288,53.3,29.6,23.7,42.5,22.3,20.2,1973-4
1973,5,1973.372,36.8,19.7,17.1,41.1,22.3,18.8,1973-5
1973,6,1973.455,41.9,21.6,20.3,38.9,21,17.9,1973-6
1973,7,1973.539,24.1,11.6,12.5,37.2,19,18.2,1973-7
1973,8,1973.624,25.8,7.9,17.9,35.8,17,18.8,1973-8
1973,9,1973.707,48.9,20.7,28.2,33.5,15,18.5,1973-9
1973,10,1973.791,33.1,12.9,20.2,31.4,13.5,17.9,1973-10
1973,11,1973.874,24.6,10.7,13.9,31.1,12.7,18.4,1973-11
1973,12,1973.958,25.7,10.5,15.2,31.7,12.2,19.5,1973-12
1974,1,1974.042,29.2,10.3,18.9,33,12,21,1974-1
1974,2,1974.123,26.6,8.7,17.9,33.9,11.1,22.8,1974-2
1974,3,1974.204,21.2,13.3,7.9,33.1,9.7,23.4,1974-3
1974,4,1974.287,43.1,12.9,30.2,34,9.7,24.3,1974-4
1974,5,1974.371,41.8,14.1,27.7,35.7,10.5,25.2,1974-5
1974,6,1974.454,38,7,31,36.1,11.2,24.9,1974-6
1974,7,1974.538,42.6,0.7,41.9,35.6,12.1,23.5,1974-7
1974,8,1974.623,36.6,6.2,30.4,35,12.6,22.4,1974-8
1974,9,1974.706,42.4,13.5,28.9,33.6,12.3,21.3,1974-9
1974,10,1974.79,45,21.1,23.9,30.5,11.3,19.2,1974-10
1974,11,1974.873,27.4,15.9,11.5,27.6,10.4,17.2,1974-11
1974,12,1974.957,21.1,19.8,1.3,24.7,10.2,14.5,1974-12
1975,1,1975.042,20,17.4,2.6,21.9,10.7,11.2,1975-1
1975,2,1975.123,12.3,6.5,5.8,20.7,11.3,9.4,1975-2
1975,3,1975.203,8.9,3.9,5,20.1,11.5,8.6,1975-3
1975,4,1975.287,7.9,3,4.9,18.4,11,7.4,1975-4
1975,5,1975.37,7.2,3.6,3.6,16.8,10,6.8,1975-5
1975,6,1975.454,11.2,6.7,4.5,16.1,8.8,7.3,1975-6
1975,7,1975.537,27.6,13.1,14.5,15.2,7.8,7.4,1975-7
1975,8,1975.622,40.6,22.2,18.4,14.5,7.2,7.3,1975-8
1975,9,1975.706,16.3,8.1,8.2,14.6,7,7.6,1975-9
1975,10,1975.789,11.8,7.4,4.4,15.4,7.5,7.9,1975-10
1975,11,1975.873,14.1,5.5,8.6,16.5,8,8.5,1975-11
1975,12,1975.956,7.6,4.8,2.8,16.5,8,8.5,1975-12
1976,1,1976.041,6.6,0,6.6,14.7,7,7.7,1976-1
1976,2,1976.123,6.2,1.5,4.7,12.5,5.9,6.6,1976-2
1976,3,1976.205,22.9,9.6,13.3,11.9,5.6,6.3,1976-3
1976,4,1976.289,19.3,10.5,8.8,12.1,5.6,6.5,1976-4
1976,5,1976.372,14,7.5,6.5,12.3,5.6,6.7,1976-5
1976,6,1976.456,9.4,4.3,5.1,12.6,5.6,7,1976-6
1976,7,1976.539,7.5,3.3,4.2,13.3,6.3,7,1976-7
1976,8,1976.624,12.6,8.3,4.3,14.1,7,7.1,1976-8
1976,9,1976.708,15.1,6.4,8.7,14,7,7,1976-9
1976,10,1976.791,15.5,5.7,9.8,13.4,6.8,6.6,1976-10
1976,11,1976.875,7.3,3.8,3.5,13.4,6.8,6.6,1976-11
1976,12,1976.958,16.3,10.3,6,14.6,7.3,7.3,1976-12
1977,1,1977.043,17.8,9.8,8,16.6,8.5,8.1,1977-1
1977,2,1977.124,22.4,8.5,13.9,17.8,9.3,8.5,1977-2
1977,3,1977.205,8.8,6.6,2.2,18.9,10.3,8.6,1977-3
1977,4,1977.288,14.7,6.9,7.8,21.3,11.8,9.5,1977-4
1977,5,1977.372,21.2,10.1,11.1,24.3,13.6,10.7,1977-5
1977,6,1977.455,31.3,17.8,13.5,26.4,14.6,11.8,1977-6
1977,7,1977.539,24.5,16.3,8.2,28.3,15.5,12.8,1977-7
1977,8,1977.624,29.1,17.6,11.5,32.2,18,14.2,1977-8
1977,9,1977.707,44.2,23.2,21,38.3,22.2,16.1,1977-9
1977,10,1977.791,43.1,26.2,16.9,44.4,26.7,17.7,1977-10
1977,11,1977.874,35.1,18.3,16.8,50.7,30.8,19.9,1977-11
1977,12,1977.958,39.9,18.4,21.5,56.3,34.2,22.1,1977-12
1978,1,1978.042,63.3,38.2,25.1,62.1,38.1,24,1978-1
1978,2,1978.123,81.6,57.3,24.3,66,40.9,25.1,1978-2
1978,3,1978.204,77,51.3,25.7,69,42.4,26.6,1978-3
1978,4,1978.287,93.7,58.2,35.5,75.3,45.2,30.1,1978-4
1978,5,1978.371,86.8,49.7,37.1,83.4,49,34.4,1978-5
1978,6,1978.454,93.4,65.5,27.9,90.3,51.9,38.4,1978-6
1978,7,1978.538,75.8,51.4,24.4,94.8,52.6,42.2,1978-7
1978,8,1978.623,65.7,32.5,33.2,101.3,53.3,48,1978-8
1978,9,1978.706,118.3,59.1,59.2,107.4,54.6,52.8,1978-9
1978,10,1978.79,127.9,60.7,67.2,111.3,55.5,55.8,1978-10
1978,11,1978.873,109.9,49.2,60.7,114.1,56.2,57.9,1978-11
1978,12,1978.957,122.1,47.7,74.4,118.9,58.2,60.7,1978-12
1979,1,1979.042,156.4,72,84.4,126.2,62.6,63.6,1979-1
1979,2,1979.123,139.9,57.4,82.5,132,66.8,65.2,1979-2
1979,3,1979.203,138.6,74.9,63.7,134,67.7,66.3,1979-3
1979,4,1979.287,105.3,51.4,53.9,139.3,70,69.3,1979-4
1979,5,1979.37,141.4,84.1,57.3,146.4,74.3,72.1,1979-5
1979,6,1979.454,152.4,93.6,58.8,152.1,78,74.1,1979-6
1979,7,1979.537,140.7,85.2,55.5,155,79.3,75.7,1979-7
1979,8,1979.622,147,70,77,157,80.5,76.5,1979-8
1979,9,1979.706,185.7,85.1,100.6,158.5,81.9,76.6,1979-9
1979,10,1979.789,190.1,101.7,88.4,160.5,83.7,76.8,1979-10
1979,11,1979.873,183.2,86.8,96.4,162.2,83.9,78.3,1979-11
1979,12,1979.956,184.1,73.1,111,163.1,81.1,82,1979-12
1980,1,1980.041,161.3,81.4,79.9,165.3,79.5,85.8,1980-1
1980,2,1980.123,143.3,78.9,64.4,164.7,78.4,86.3,1980-2
1980,3,1980.205,139.2,83.5,55.7,160.2,76.2,84,1980-3
1980,4,1980.289,160.7,82.9,77.8,156.8,73.9,82.9,1980-4
1980,5,1980.372,167.3,63.9,103.4,154.9,72.8,82.1,1980-5
1980,6,1980.456,158.6,62.7,95.9,152.8,73.1,79.7,1980-6
1980,7,1980.539,142.4,59.5,82.9,151.9,73.7,78.2,1980-7
1980,8,1980.624,133,63.6,69.4,152.5,74.2,78.3,1980-8
1980,9,1980.708,154.4,74.9,79.5,151.1,73.9,77.2,1980-9
1980,10,1980.791,170.6,74.1,96.5,149.2,75,74.2,1980-10
1980,11,1980.875,150.8,81.3,69.5,147.3,78.4,68.9,1980-11
1980,12,1980.958,152,89.5,62.5,144.6,80.6,64,1980-12
1981,1,1981.043,137.7,76.9,60.8,141.3,79.9,61.4,1981-1
1981,2,1981.124,136.8,88.3,48.5,140,78,62,1981-2
